,Ta,RH
2021-06-30 00:00:00,14.37,93.49
2021-06-30 00:10:00,14.26,93.79
2021-06-30 00:20:00,14.26,94.37
2021-06-30 00:30:00,14.28,94.67
2021-06-30 00:40:00,14.35,94.08
2021-06-30 00:50:00,14.42,93.2
2021-06-30 01:00:00,14.45,92.03
2021-06-30 01:10:00,14.42,91.73
2021-06-30 01:20:00,14.3,91.44
2021-06-30 01:30:00,14.2,91.44
2021-06-30 01:40:00,14.11,91.15
2021-06-30 01:50:00,14.0,91.73
2021-06-30 02:00:00,13.92,92.03
2021-06-30 02:10:00,13.87,92.61
2021-06-30 02:20:00,13.79,92.61
2021-06-30 02:30:00,13.68,93.2
2021-06-30 02:40:00,13.61,93.49
2021-06-30 02:50:00,13.57,94.08
2021-06-30 03:00:00,13.57,94.08
2021-06-30 03:10:00,13.62,93.79
2021-06-30 03:20:00,13.65,93.79
2021-06-30 03:30:00,13.65,93.79
2021-06-30 03:40:00,13.63,93.79
2021-06-30 03:50:00,13.61,93.49
2021-06-30 04:00:00,13.56,93.49
2021-06-30 04:10:00,13.51,93.2
2021-06-30 04:20:00,13.47,94.08
2021-06-30 04:30:00,13.44,94.08
2021-06-30 04:40:00,13.42,94.37
2021-06-30 04:50:00,13.48,93.2
2021-06-30 05:00:00,13.49,93.2
2021-06-30 05:10:00,13.48,93.49
2021-06-30 05:20:00,13.54,92.91
2021-06-30 05:30:00,13.52,92.91
2021-06-30 05:40:00,13.54,93.2
2021-06-30 05:50:00,13.66,92.61
2021-06-30 06:00:00,13.79,92.61
2021-06-30 06:10:00,13.91,91.44
2021-06-30 06:20:00,14.08,90.56
2021-06-30 06:30:00,14.25,88.51
2021-06-30 06:40:00,14.38,88.22
2021-06-30 06:50:00,14.54,85.58
2021-06-30 07:00:00,14.66,84.17
2021-06-30 07:10:00,14.85,83.05
2021-06-30 07:20:00,15.24,80.53
2021-06-30 07:30:00,15.64,77.73
2021-06-30 07:40:00,16.18,75.21
2021-06-30 07:50:00,16.61,74.65
2021-06-30 08:00:00,16.91,72.97
2021-06-30 08:10:00,17.33,73.53
2021-06-30 08:20:00,17.64,72.13
2021-06-30 08:30:00,17.76,72.69
2021-06-30 08:40:00,17.9,72.41
2021-06-30 08:50:00,17.99,73.53
2021-06-30 09:00:00,18.27,72.97
2021-06-30 09:10:00,18.49,72.69
2021-06-30 09:20:00,18.56,73.25
2021-06-30 09:30:00,18.89,71.85
2021-06-30 09:40:00,19.15,70.49
2021-06-30 09:50:00,19.42,69.68
2021-06-30 10:00:00,19.52,69.15
2021-06-30 10:10:00,19.81,69.15
2021-06-30 10:20:00,20.11,67.28
2021-06-30 10:30:00,20.49,66.48
2021-06-30 10:40:00,20.71,65.68
2021-06-30 10:50:00,21.17,60.61
2021-06-30 11:00:00,21.5,64.62
2021-06-30 11:10:00,21.74,63.02
2021-06-30 11:20:00,21.53,61.68
2021-06-30 11:30:00,21.46,62.75
2021-06-30 11:40:00,21.49,61.15
2021-06-30 11:50:00,21.65,62.48
2021-06-30 12:00:00,22.04,61.15
2021-06-30 12:10:00,22.12,57.68
2021-06-30 12:20:00,22.18,61.68
2021-06-30 12:30:00,22.44,57.95
2021-06-30 12:40:00,22.36,59.01
2021-06-30 12:50:00,22.42,57.42
2021-06-30 13:00:00,22.47,56.91
2021-06-30 13:10:00,22.3,58.48
2021-06-30 13:20:00,22.24,59.81
2021-06-30 13:30:00,22.0,62.48
2021-06-30 13:40:00,21.77,59.81
2021-06-30 13:50:00,21.62,60.35
2021-06-30 14:00:00,21.58,60.61
2021-06-30 14:10:00,21.41,62.22
2021-06-30 14:20:00,21.32,62.22
2021-06-30 14:30:00,20.95,63.55
2021-06-30 14:40:00,20.74,64.35
2021-06-30 14:50:00,20.54,64.88
2021-06-30 15:00:00,20.25,64.62
2021-06-30 15:10:00,20.44,65.15
2021-06-30 15:20:00,20.38,63.55
2021-06-30 15:30:00,20.58,64.08
2021-06-30 15:40:00,20.5,63.55
2021-06-30 15:50:00,20.52,62.75
2021-06-30 16:00:00,20.38,65.15
2021-06-30 16:10:00,20.39,63.82
2021-06-30 16:20:00,20.37,63.02
2021-06-30 16:30:00,20.53,63.82
2021-06-30 16:40:00,20.31,64.62
2021-06-30 16:50:00,20.4,64.08
2021-06-30 17:00:00,20.25,64.35
2021-06-30 17:10:00,20.21,64.62
2021-06-30 17:20:00,20.03,66.22
2021-06-30 17:30:00,20.09,66.48
2021-06-30 17:40:00,20.06,64.62
2021-06-30 17:50:00,20.04,65.15
2021-06-30 18:00:00,19.88,65.15
2021-06-30 18:10:00,19.79,64.88
2021-06-30 18:20:00,19.73,64.88
2021-06-30 18:30:00,19.76,64.35
2021-06-30 18:40:00,19.86,64.08
2021-06-30 18:50:00,19.89,65.15
2021-06-30 19:00:00,19.87,64.88
2021-06-30 19:10:00,19.79,65.42
2021-06-30 19:20:00,19.62,65.95
2021-06-30 19:30:00,19.54,65.95
2021-06-30 19:40:00,19.53,66.48
2021-06-30 19:50:00,19.37,66.75
2021-06-30 20:00:00,19.18,67.82
2021-06-30 20:10:00,19.05,68.88
2021-06-30 20:20:00,18.93,69.95
2021-06-30 20:30:00,18.8,70.49
2021-06-30 20:40:00,18.71,70.49
2021-06-30 20:50:00,18.61,70.75
2021-06-30 21:00:00,18.45,71.85
2021-06-30 21:10:00,18.3,72.41
2021-06-30 21:20:00,18.16,72.97
2021-06-30 21:30:00,17.97,73.53
2021-06-30 21:40:00,17.79,74.09
2021-06-30 21:50:00,17.65,74.09
2021-06-30 22:00:00,17.51,74.37
2021-06-30 22:10:00,17.39,74.65
2021-06-30 22:20:00,17.34,74.93
2021-06-30 22:30:00,17.25,75.49
2021-06-30 22:40:00,17.16,75.77
2021-06-30 22:50:00,17.13,75.77
2021-06-30 23:00:00,17.09,75.77
2021-06-30 23:10:00,16.99,76.05
2021-06-30 23:20:00,16.89,76.33
2021-06-30 23:30:00,16.81,76.33
2021-06-30 23:40:00,16.69,76.89
2021-06-30 23:50:00,16.54,77.73
2021-07-01 00:00:00,16.38,78.57
2021-07-01 00:10:00,16.17,79.41
2021-07-01 00:20:00,16.29,77.45
2021-07-01 00:30:00,16.34,77.73
2021-07-01 00:40:00,16.35,77.73
2021-07-01 00:50:00,16.32,78.29
2021-07-01 01:00:00,16.32,77.45
2021-07-01 01:10:00,16.28,77.73
2021-07-01 01:20:00,16.21,78.01
2021-07-01 01:30:00,16.08,78.57
2021-07-01 01:40:00,15.94,78.01
