,Ta,RH
2021-06-30 00:00:00,14.69,91.03
2021-06-30 00:10:00,14.49,91.62
2021-06-30 00:20:00,14.27,92.21
2021-06-30 00:30:00,14.02,93.09
2021-06-30 00:40:00,13.87,93.68
2021-06-30 00:50:00,13.7,93.98
2021-06-30 01:00:00,13.56,93.98
2021-06-30 01:10:00,13.43,94.27
2021-06-30 01:20:00,13.38,93.68
2021-06-30 01:30:00,13.38,93.98
2021-06-30 01:40:00,13.44,93.68
2021-06-30 01:50:00,13.44,93.68
2021-06-30 02:00:00,13.42,94.27
2021-06-30 02:10:00,13.31,94.86
2021-06-30 02:20:00,13.3,95.15
2021-06-30 02:30:00,13.33,94.56
2021-06-30 02:40:00,13.36,94.86
2021-06-30 02:50:00,13.38,94.86
2021-06-30 03:00:00,13.42,94.27
2021-06-30 03:10:00,13.42,93.98
2021-06-30 03:20:00,13.39,94.27
2021-06-30 03:30:00,13.32,94.56
2021-06-30 03:40:00,13.22,95.15
2021-06-30 03:50:00,13.14,95.45
2021-06-30 04:00:00,13.11,94.56
2021-06-30 04:10:00,13.24,93.39
2021-06-30 04:20:00,13.2,93.98
2021-06-30 04:30:00,13.13,94.56
2021-06-30 04:40:00,13.02,94.56
2021-06-30 04:50:00,12.9,94.86
2021-06-30 05:00:00,12.85,94.86
2021-06-30 05:10:00,12.79,94.86
2021-06-30 05:20:00,12.85,93.98
2021-06-30 05:30:00,13.06,92.8
2021-06-30 05:40:00,13.29,92.21
2021-06-30 05:50:00,13.34,92.21
2021-06-30 06:00:00,13.75,91.03
2021-06-30 06:10:00,14.1,89.85
2021-06-30 06:20:00,14.23,89.26
2021-06-30 06:30:00,14.41,87.79
2021-06-30 06:40:00,14.57,86.05
2021-06-30 06:50:00,14.94,84.07
2021-06-30 07:00:00,15.55,79.27
2021-06-30 07:10:00,16.27,76.45
2021-06-30 07:20:00,16.62,74.47
2021-06-30 07:30:00,16.7,74.75
2021-06-30 07:40:00,16.82,73.62
2021-06-30 07:50:00,17.13,73.34
2021-06-30 08:00:00,17.66,71.94
2021-06-30 08:10:00,18.04,71.67
2021-06-30 08:20:00,18.15,72.77
2021-06-30 08:30:00,18.15,73.62
2021-06-30 08:40:00,18.3,74.18
2021-06-30 08:50:00,18.45,72.49
2021-06-30 09:00:00,18.8,71.13
2021-06-30 09:10:00,19.09,69.24
2021-06-30 09:20:00,19.4,67.88
2021-06-30 09:30:00,19.57,66.8
2021-06-30 09:40:00,19.58,67.34
2021-06-30 09:50:00,20.19,65.99
2021-06-30 10:00:00,20.68,63.55
2021-06-30 10:10:00,21.18,62.2
2021-06-30 10:20:00,21.34,61.12
2021-06-30 10:30:00,21.98,58.69
2021-06-30 10:40:00,22.22,58.69
2021-06-30 10:50:00,21.75,59.23
2021-06-30 11:00:00,21.78,60.58
2021-06-30 11:10:00,22.18,56.09
2021-06-30 11:20:00,22.47,55.57
2021-06-30 11:30:00,23.42,51.96
2021-06-30 11:40:00,23.63,51.96
2021-06-30 11:50:00,23.94,50.92
2021-06-30 12:00:00,23.89,55.83
2021-06-30 12:10:00,21.99,62.74
2021-06-30 12:20:00,22.02,58.69
2021-06-30 12:30:00,22.0,58.16
2021-06-30 12:40:00,21.93,58.42
2021-06-30 12:50:00,21.84,60.58
2021-06-30 13:00:00,21.92,59.5
2021-06-30 13:10:00,21.52,62.47
2021-06-30 13:20:00,21.4,60.58
2021-06-30 13:30:00,21.41,61.39
2021-06-30 13:40:00,21.68,59.23
2021-06-30 13:50:00,21.24,61.66
2021-06-30 14:00:00,21.66,58.69
2021-06-30 14:10:00,21.5,60.04
2021-06-30 14:20:00,21.74,60.58
2021-06-30 14:30:00,21.15,61.39
2021-06-30 14:40:00,20.89,63.01
2021-06-30 14:50:00,20.8,62.74
2021-06-30 15:00:00,20.53,63.83
2021-06-30 15:10:00,20.69,63.01
2021-06-30 15:20:00,20.25,64.1
2021-06-30 15:30:00,20.42,63.28
2021-06-30 15:40:00,21.27,58.69
2021-06-30 15:50:00,21.19,59.5
2021-06-30 16:00:00,21.33,59.23
2021-06-30 16:10:00,21.54,59.23
2021-06-30 16:20:00,20.71,63.28
2021-06-30 16:30:00,20.45,64.91
2021-06-30 16:40:00,20.35,63.55
2021-06-30 16:50:00,20.7,62.47
2021-06-30 17:00:00,20.66,62.2
2021-06-30 17:10:00,20.61,62.74
2021-06-30 17:20:00,20.41,63.55
2021-06-30 17:30:00,20.4,62.2
2021-06-30 17:40:00,20.31,63.01
2021-06-30 17:50:00,20.57,61.93
2021-06-30 18:00:00,20.41,63.01
2021-06-30 18:10:00,20.27,63.55
2021-06-30 18:20:00,20.5,62.74
2021-06-30 18:30:00,20.71,62.2
2021-06-30 18:40:00,20.67,62.74
2021-06-30 18:50:00,20.4,63.55
2021-06-30 19:00:00,20.37,64.1
2021-06-30 19:10:00,20.28,64.37
2021-06-30 19:20:00,20.19,64.91
2021-06-30 19:30:00,20.08,64.1
2021-06-30 19:40:00,20.0,64.91
2021-06-30 19:50:00,19.88,65.18
2021-06-30 20:00:00,19.69,65.99
2021-06-30 20:10:00,19.74,65.45
2021-06-30 20:20:00,19.72,65.99
2021-06-30 20:30:00,19.63,66.8
2021-06-30 20:40:00,19.42,67.88
2021-06-30 20:50:00,19.17,68.97
2021-06-30 21:00:00,18.99,68.97
2021-06-30 21:10:00,18.84,69.24
2021-06-30 21:20:00,18.67,69.51
2021-06-30 21:30:00,18.48,70.05
2021-06-30 21:40:00,18.32,70.59
2021-06-30 21:50:00,18.17,71.4
2021-06-30 22:00:00,18.09,71.94
2021-06-30 22:10:00,17.91,73.05
2021-06-30 22:20:00,17.76,74.18
2021-06-30 22:30:00,17.62,74.47
2021-06-30 22:40:00,17.59,73.9
2021-06-30 22:50:00,17.6,74.18
2021-06-30 23:00:00,17.45,75.32
2021-06-30 23:10:00,17.31,76.16
2021-06-30 23:20:00,17.19,76.45
2021-06-30 23:30:00,17.05,77.01
2021-06-30 23:40:00,16.84,78.71
2021-06-30 23:50:00,16.5,80.4
2021-07-01 00:00:00,16.35,80.68
2021-07-01 00:10:00,16.48,79.84
2021-07-01 00:20:00,16.75,78.14
2021-07-01 00:30:00,16.98,76.16
2021-07-01 00:40:00,17.11,75.03
2021-07-01 00:50:00,17.04,75.32
2021-07-01 01:00:00,16.8,76.16
2021-07-01 01:10:00,16.52,77.58
2021-07-01 01:20:00,16.3,77.86
2021-07-01 01:30:00,16.14,77.86
2021-07-01 01:40:00,16.02,77.58
2021-07-01 01:50:00,15.85,78.14
2021-07-01 02:00:00,15.68,78.99
2021-07-01 02:10:00,15.52,78.99
2021-07-01 02:20:00,15.36,79.27
2021-07-01 02:30:00,15.26,78.71
2021-07-01 02:40:00,15.25,77.58
2021-07-01 02:50:00,15.15,77.29
2021-07-01 03:00:00,15.1,77.01
2021-07-01 03:10:00,15.04,76.16
2021-07-01 03:20:00,14.98,75.6
2021-07-01 03:30:00,14.93,74.75
