,Ta,RH
2021-07-01 01:20:00,15.59,81.33
2021-07-01 01:30:00,15.54,81.33
2021-07-01 01:40:00,15.42,81.33
2021-07-01 01:50:00,15.28,81.05
2021-07-01 02:00:00,15.16,81.05
2021-07-01 02:10:00,15.02,81.33
2021-07-01 02:20:00,14.89,81.61
2021-07-01 02:30:00,14.76,82.17
2021-07-01 02:40:00,14.61,82.17
2021-07-01 02:50:00,14.5,82.45
2021-07-01 03:00:00,14.39,82.17
2021-07-01 03:10:00,14.31,81.33
2021-07-01 03:20:00,14.26,80.21
2021-07-01 03:30:00,14.2,79.65
2021-07-01 03:40:00,14.15,78.53
2021-07-01 03:50:00,14.14,77.97
2021-07-01 04:00:00,14.12,78.81
2021-07-01 04:10:00,14.18,77.42
2021-07-01 04:20:00,14.22,77.14
2021-07-01 04:30:00,14.27,76.86
2021-07-01 04:40:00,14.26,77.42
2021-07-01 04:50:00,14.25,76.02
2021-07-01 05:00:00,14.29,76.02
2021-07-01 05:10:00,14.36,75.46
2021-07-01 05:20:00,14.49,72.1
2021-07-01 05:30:00,14.59,70.44
2021-07-01 05:40:00,14.63,70.18
2021-07-01 05:50:00,14.61,70.98
2021-07-01 06:00:00,14.56,71.26
2021-07-01 06:10:00,14.53,70.71
2021-07-01 06:20:00,14.54,69.91
2021-07-01 06:30:00,14.56,70.71
2021-07-01 06:40:00,14.76,70.44
2021-07-01 06:50:00,15.27,68.84
2021-07-01 07:00:00,15.79,68.31
2021-07-01 07:10:00,16.7,63.25
2021-07-01 07:20:00,16.92,65.38
2021-07-01 07:30:00,17.27,63.25
2021-07-01 07:40:00,18.38,59.79
2021-07-01 07:50:00,18.79,58.46
2021-07-01 08:00:00,19.04,58.73
2021-07-01 08:10:00,19.16,60.86
2021-07-01 08:20:00,19.0,57.13
2021-07-01 08:30:00,18.91,57.39
2021-07-01 08:40:00,18.82,57.39
2021-07-01 08:50:00,18.77,57.93
2021-07-01 09:00:00,18.75,61.39
2021-07-01 09:10:00,19.4,56.63
2021-07-01 09:20:00,19.7,56.37
2021-07-01 09:30:00,19.82,56.37
2021-07-01 09:40:00,19.75,57.93
2021-07-01 09:50:00,19.91,55.36
2021-07-01 10:00:00,19.93,57.13
2021-07-01 10:10:00,19.63,57.13
2021-07-01 10:20:00,18.96,61.92
2021-07-01 10:30:00,18.61,66.45
2021-07-01 10:40:00,17.96,72.1
2021-07-01 10:50:00,17.44,73.78
2021-07-01 11:00:00,17.42,71.26
2021-07-01 11:10:00,17.85,68.05
2021-07-01 11:20:00,18.02,67.25
2021-07-01 11:30:00,17.87,67.25
2021-07-01 11:40:00,17.68,67.25
2021-07-01 11:50:00,17.38,68.84
2021-07-01 12:00:00,17.28,66.71
2021-07-01 12:10:00,17.18,66.71
2021-07-01 12:20:00,17.25,67.51
2021-07-01 12:30:00,17.44,66.18
2021-07-01 12:40:00,17.23,66.45
2021-07-01 12:50:00,17.0,70.44
2021-07-01 13:00:00,16.88,70.18
2021-07-01 13:10:00,16.86,69.38
2021-07-01 13:20:00,16.7,69.64
2021-07-01 13:30:00,16.43,72.1
2021-07-01 13:40:00,15.96,77.14
2021-07-01 13:50:00,15.36,84.69
2021-07-01 14:00:00,14.87,88.47
2021-07-01 14:10:00,14.56,90.82
2021-07-01 14:20:00,14.42,91.41
2021-07-01 14:30:00,14.29,92.28
2021-07-01 14:40:00,14.06,95.21
2021-07-01 14:50:00,13.9,96.68
2021-07-01 15:00:00,13.84,97.27
2021-07-01 15:10:00,13.72,97.27
2021-07-01 15:20:00,13.69,97.85
2021-07-01 15:30:00,13.68,97.56
2021-07-01 15:40:00,13.7,98.14
2021-07-01 15:50:00,13.78,98.44
2021-07-01 16:00:00,14.05,98.73
2021-07-01 16:10:00,14.55,98.14
2021-07-01 16:20:00,14.93,97.85
2021-07-01 16:30:00,15.23,94.04
2021-07-01 16:40:00,15.91,93.75
2021-07-01 16:50:00,16.36,91.7
2021-07-01 17:00:00,16.67,89.06
2021-07-01 17:10:00,17.0,87.3
2021-07-01 17:20:00,17.27,85.25
2021-07-01 17:30:00,17.45,88.77
2021-07-01 17:40:00,18.19,83.85
2021-07-01 17:50:00,18.85,80.77
2021-07-01 18:00:00,18.9,77.7
