,Ta,RH
2021-06-30 00:00:00,15.29,86.39
2021-06-30 00:10:00,15.16,86.97
2021-06-30 00:20:00,15.06,87.26
2021-06-30 00:30:00,14.94,87.54
2021-06-30 00:40:00,14.8,88.12
2021-06-30 00:50:00,14.63,88.41
2021-06-30 01:00:00,14.43,88.98
2021-06-30 01:10:00,14.24,88.69
2021-06-30 01:20:00,14.13,89.27
2021-06-30 01:30:00,13.97,89.27
2021-06-30 01:40:00,13.92,89.27
2021-06-30 01:50:00,13.87,89.84
2021-06-30 02:00:00,13.8,90.13
2021-06-30 02:10:00,13.71,90.71
2021-06-30 02:20:00,13.64,91.28
2021-06-30 02:30:00,13.6,91.0
2021-06-30 02:40:00,13.61,91.0
2021-06-30 02:50:00,13.64,91.0
2021-06-30 03:00:00,13.67,90.42
2021-06-30 03:10:00,13.75,89.84
2021-06-30 03:20:00,13.73,90.71
2021-06-30 03:30:00,13.63,90.71
2021-06-30 03:40:00,13.61,90.71
2021-06-30 03:50:00,13.55,91.0
2021-06-30 04:00:00,13.48,91.0
2021-06-30 04:10:00,13.51,89.84
2021-06-30 04:20:00,13.6,89.27
2021-06-30 04:30:00,13.59,89.27
2021-06-30 04:40:00,13.56,89.27
2021-06-30 04:50:00,13.49,89.84
2021-06-30 05:00:00,13.42,89.84
2021-06-30 05:10:00,13.36,89.84
2021-06-30 05:20:00,13.26,90.42
2021-06-30 05:30:00,13.31,89.56
2021-06-30 05:40:00,13.37,89.84
2021-06-30 05:50:00,13.5,89.27
2021-06-30 06:00:00,13.67,88.98
2021-06-30 06:10:00,13.87,88.41
2021-06-30 06:20:00,14.12,87.54
2021-06-30 06:30:00,14.3,86.1
2021-06-30 06:40:00,14.49,84.7
2021-06-30 06:50:00,14.71,82.49
2021-06-30 07:00:00,15.03,80.01
2021-06-30 07:10:00,15.49,76.15
2021-06-30 07:20:00,15.96,73.66
2021-06-30 07:30:00,16.29,73.39
2021-06-30 07:40:00,16.66,71.46
2021-06-30 07:50:00,16.95,71.73
2021-06-30 08:00:00,17.22,71.46
2021-06-30 08:10:00,17.54,70.92
2021-06-30 08:20:00,17.79,71.46
2021-06-30 08:30:00,18.05,72.01
2021-06-30 08:40:00,18.15,72.01
2021-06-30 08:50:00,18.23,72.01
2021-06-30 09:00:00,18.54,70.4
2021-06-30 09:10:00,18.68,69.6
2021-06-30 09:20:00,18.83,68.28
2021-06-30 09:30:00,19.04,67.49
2021-06-30 09:40:00,19.38,66.44
2021-06-30 09:50:00,19.65,65.64
2021-06-30 10:00:00,20.25,63.27
2021-06-30 10:10:00,20.44,63.53
2021-06-30 10:20:00,20.59,62.48
2021-06-30 10:30:00,21.07,60.63
2021-06-30 10:40:00,21.49,58.78
2021-06-30 10:50:00,21.84,58.78
2021-06-30 11:00:00,21.59,59.31
2021-06-30 11:10:00,21.87,57.22
2021-06-30 11:20:00,22.06,55.71
2021-06-30 11:30:00,22.51,54.2
2021-06-30 11:40:00,22.82,52.43
2021-06-30 11:50:00,23.44,52.43
2021-06-30 12:00:00,23.39,53.44
2021-06-30 12:10:00,22.93,57.73
2021-06-30 12:20:00,22.38,56.97
2021-06-30 12:30:00,22.79,54.7
2021-06-30 12:40:00,22.72,55.46
2021-06-30 12:50:00,22.72,55.21
2021-06-30 13:00:00,22.75,54.2
2021-06-30 13:10:00,22.36,57.73
2021-06-30 13:20:00,22.44,55.96
2021-06-30 13:30:00,21.93,58.78
2021-06-30 13:40:00,22.06,57.73
