,Ta,RH
2021-06-30 00:00:00,15.76,86.37
2021-06-30 00:10:00,15.69,86.66
2021-06-30 00:20:00,15.59,86.94
2021-06-30 00:30:00,15.49,87.8
2021-06-30 00:40:00,15.33,88.09
2021-06-30 00:50:00,15.2,88.68
2021-06-30 01:00:00,15.04,88.38
2021-06-30 01:10:00,14.88,88.68
2021-06-30 01:20:00,14.71,88.97
2021-06-30 01:30:00,14.63,89.27
2021-06-30 01:40:00,14.59,89.56
2021-06-30 01:50:00,14.48,89.27
2021-06-30 02:00:00,14.4,89.56
2021-06-30 02:10:00,14.34,89.86
2021-06-30 02:20:00,14.27,90.15
2021-06-30 02:30:00,14.08,91.04
2021-06-30 02:40:00,13.97,91.63
2021-06-30 02:50:00,13.89,91.93
2021-06-30 03:00:00,13.92,91.93
2021-06-30 03:10:00,13.99,91.34
2021-06-30 03:20:00,14.07,91.34
2021-06-30 03:30:00,14.05,91.34
2021-06-30 03:40:00,13.97,91.63
2021-06-30 03:50:00,13.93,91.63
2021-06-30 04:00:00,13.93,91.34
2021-06-30 04:10:00,13.95,91.04
2021-06-30 04:20:00,13.98,90.75
2021-06-30 04:30:00,14.05,90.45
2021-06-30 04:40:00,14.13,90.15
2021-06-30 04:50:00,14.17,89.56
2021-06-30 05:00:00,14.11,89.56
2021-06-30 05:10:00,14.06,89.86
2021-06-30 05:20:00,14.16,89.27
2021-06-30 05:30:00,14.24,88.97
2021-06-30 05:40:00,14.38,87.8
2021-06-30 05:50:00,14.53,87.23
2021-06-30 06:00:00,14.68,86.66
2021-06-30 06:10:00,14.85,86.09
2021-06-30 06:20:00,14.94,85.23
2021-06-30 06:30:00,15.09,84.1
2021-06-30 06:40:00,15.46,81.53
2021-06-30 06:50:00,15.79,80.39
2021-06-30 07:00:00,16.25,76.12
2021-06-30 07:10:00,17.13,69.45
2021-06-30 07:20:00,18.07,64.52
2021-06-30 07:30:00,18.21,65.07
2021-06-30 07:40:00,18.24,64.79
2021-06-30 07:50:00,18.37,65.34
2021-06-30 08:00:00,18.3,66.44
2021-06-30 08:10:00,18.7,65.89
2021-06-30 08:20:00,18.87,66.16
2021-06-30 08:30:00,18.98,68.08
2021-06-30 08:40:00,18.73,69.45
2021-06-30 08:50:00,19.12,68.63
2021-06-30 09:00:00,19.44,66.98
2021-06-30 09:10:00,19.56,66.16
2021-06-30 09:20:00,19.68,67.26
2021-06-30 09:30:00,19.85,65.62
2021-06-30 09:40:00,20.48,63.42
2021-06-30 09:50:00,21.14,62.06
2021-06-30 10:00:00,21.37,61.23
2021-06-30 10:10:00,21.55,60.14
2021-06-30 10:20:00,21.45,60.96
2021-06-30 10:30:00,21.39,60.69
2021-06-30 10:40:00,21.57,58.53
2021-06-30 10:50:00,21.82,59.87
2021-06-30 11:00:00,21.7,60.69
2021-06-30 11:10:00,21.68,61.23
2021-06-30 11:20:00,21.65,59.87
2021-06-30 11:30:00,22.06,58.27
2021-06-30 11:40:00,22.23,56.95
2021-06-30 11:50:00,22.56,55.64
2021-06-30 12:00:00,22.5,55.11
2021-06-30 12:10:00,22.68,54.85
2021-06-30 12:20:00,22.65,54.59
2021-06-30 12:30:00,22.54,55.38
2021-06-30 12:40:00,22.69,54.32
2021-06-30 12:50:00,22.71,56.17
2021-06-30 13:00:00,22.49,55.64
2021-06-30 13:10:00,22.73,55.9
2021-06-30 13:20:00,22.36,58.01
2021-06-30 13:30:00,22.08,59.06
2021-06-30 13:40:00,22.02,58.53
2021-06-30 13:50:00,21.89,58.79
2021-06-30 14:00:00,21.68,58.79
2021-06-30 14:10:00,21.63,58.79
2021-06-30 14:20:00,21.66,60.14
2021-06-30 14:30:00,21.12,61.78
2021-06-30 14:40:00,20.89,62.33
2021-06-30 14:50:00,20.75,62.88
2021-06-30 15:00:00,20.69,62.33
2021-06-30 15:10:00,20.71,61.78
2021-06-30 15:20:00,20.55,62.06
2021-06-30 15:30:00,20.85,61.78
2021-06-30 15:40:00,20.76,61.23
2021-06-30 15:50:00,20.84,60.96
2021-06-30 16:00:00,20.87,60.96
2021-06-30 16:10:00,20.72,61.51
2021-06-30 16:20:00,20.71,61.23
