,Ta,RH
2021-06-30 00:00:00,16.26,85.89
2021-06-30 00:10:00,16.08,86.48
2021-06-30 00:20:00,15.92,87.06
2021-06-30 00:30:00,15.77,87.93
2021-06-30 00:40:00,15.61,88.22
2021-06-30 00:50:00,15.47,88.22
2021-06-30 01:00:00,15.37,88.51
2021-06-30 01:10:00,15.3,88.22
2021-06-30 01:20:00,15.11,89.09
2021-06-30 01:30:00,14.9,89.7
2021-06-30 01:40:00,14.89,89.7
2021-06-30 01:50:00,14.87,89.4
2021-06-30 02:00:00,14.83,89.7
2021-06-30 02:10:00,14.63,90.9
2021-06-30 02:20:00,14.41,91.51
2021-06-30 02:30:00,14.37,92.11
2021-06-30 02:40:00,14.23,92.41
2021-06-30 02:50:00,14.14,93.01
2021-06-30 03:00:00,14.15,93.31
2021-06-30 03:10:00,14.25,93.01
2021-06-30 03:20:00,14.4,91.51
2021-06-30 03:30:00,14.37,91.51
2021-06-30 03:40:00,14.27,91.2
2021-06-30 03:50:00,14.22,91.2
2021-06-30 04:00:00,14.21,91.81
2021-06-30 04:10:00,14.2,91.81
2021-06-30 04:20:00,14.22,91.81
2021-06-30 04:30:00,14.27,91.51
2021-06-30 04:40:00,14.31,90.9
2021-06-30 04:50:00,14.24,91.51
2021-06-30 05:00:00,14.19,91.2
2021-06-30 05:10:00,14.14,91.51
2021-06-30 05:20:00,14.14,91.2
2021-06-30 05:30:00,14.14,91.51
2021-06-30 05:40:00,14.19,90.6
2021-06-30 05:50:00,14.2,91.51
2021-06-30 06:00:00,14.34,90.6
2021-06-30 06:10:00,14.52,90.0
2021-06-30 06:20:00,14.65,88.8
2021-06-30 06:30:00,14.79,87.35
2021-06-30 06:40:00,14.91,85.89
2021-06-30 06:50:00,15.11,84.44
2021-06-30 07:00:00,15.51,80.37
2021-06-30 07:10:00,16.21,76.31
2021-06-30 07:20:00,17.03,73.43
2021-06-30 07:30:00,17.23,72.87
2021-06-30 07:40:00,17.46,71.75
2021-06-30 07:50:00,17.8,70.07
2021-06-30 08:00:00,18.16,70.07
2021-06-30 08:10:00,18.49,70.07
2021-06-30 08:20:00,18.69,70.63
2021-06-30 08:30:00,18.81,70.91
2021-06-30 08:40:00,18.87,70.91
2021-06-30 08:50:00,19.03,70.35
2021-06-30 09:00:00,19.24,69.79
2021-06-30 09:10:00,19.42,69.51
2021-06-30 09:20:00,19.38,69.79
2021-06-30 09:30:00,19.64,68.39
2021-06-30 09:40:00,20.2,66.16
2021-06-30 09:50:00,20.58,65.32
2021-06-30 10:00:00,21.04,64.2
2021-06-30 10:10:00,21.32,62.52
2021-06-30 10:20:00,21.9,61.12
2021-06-30 10:30:00,22.43,58.38
2021-06-30 10:40:00,22.99,57.31
2021-06-30 10:50:00,22.94,58.11
2021-06-30 11:00:00,22.77,58.38
2021-06-30 11:10:00,23.17,56.77
2021-06-30 11:20:00,23.43,55.16
2021-06-30 11:30:00,23.18,55.43
2021-06-30 11:40:00,23.14,54.89
2021-06-30 11:50:00,23.31,53.28
2021-06-30 12:00:00,23.35,53.01
2021-06-30 12:10:00,23.59,51.93
2021-06-30 12:20:00,23.56,52.74
