TIMESTAMP,Ta,RH
2021-06-28 10:00:00,27.8,71.6
2021-06-28 10:10:00,28.09,69.39
2021-06-28 10:20:00,28.54,70.22
2021-06-28 10:30:00,29.0,64.96000000000001
2021-06-28 10:40:00,29.44,63.38
2021-06-28 10:50:00,29.81,63.12
2021-06-28 11:00:00,30.38,65.50999999999999
2021-06-28 11:10:00,31.28,62.33
2021-06-28 11:20:00,31.98,56.27
2021-06-28 11:30:00,32.4,54.69
2021-06-28 11:40:00,32.65,54.69
2021-06-28 11:50:00,32.75,55.22
2021-06-28 12:00:00,32.730000000000004,54.69
2021-06-28 12:10:00,32.67,54.96
2021-06-28 12:20:00,32.75,52.32
2021-06-28 12:30:00,32.879999999999995,53.64
2021-06-28 12:40:00,33.07,50.29
2021-06-28 12:50:00,33.31,52.85
2021-06-28 13:00:00,30.44,57.06
2021-06-28 13:10:00,29.26,61.8
2021-06-28 13:20:00,28.28,62.85
2021-06-28 13:30:00,27.8,64.17
2021-06-28 13:40:00,27.82,64.17
2021-06-28 13:50:00,28.12,63.38
2021-06-28 14:00:00,27.82,65.50999999999999
2021-06-28 14:10:00,27.24,66.89
2021-06-28 14:20:00,27.4,66.62
2021-06-28 14:30:00,27.28,66.89
2021-06-28 14:40:00,27.22,66.34
2021-06-28 14:50:00,27.11,68.28
2021-06-28 15:00:00,27.12,68.28
2021-06-28 15:10:00,27.43,68.28
2021-06-28 15:20:00,27.35,69.66
2021-06-28 15:30:00,27.38,69.11
2021-06-28 15:40:00,27.39,69.39
2021-06-28 15:50:00,27.42,70.49000000000001
2021-06-28 16:00:00,27.63,69.39
2021-06-28 16:10:00,27.57,69.11
2021-06-28 16:20:00,27.47,69.94
2021-06-28 16:30:00,27.34,70.49000000000001
2021-06-28 16:40:00,27.28,69.94
2021-06-28 16:50:00,27.68,67.45
2021-06-28 17:00:00,27.95,67.45
2021-06-28 17:10:00,27.78,69.11
2021-06-28 17:20:00,27.62,68.56
2021-06-28 17:30:00,27.24,69.94
2021-06-28 17:40:00,26.81,72.16
2021-06-28 17:50:00,26.71,68.83
2021-06-28 18:00:00,26.6,69.11
2021-06-28 18:10:00,26.39,71.6
2021-06-28 18:20:00,26.23,74.1
2021-06-28 18:30:00,26.07,76.31
2021-06-28 18:40:00,25.61,80.82
2021-06-28 18:50:00,25.41,81.98
2021-06-28 19:00:00,25.36,79.95
2021-06-28 19:10:00,25.41,79.95
2021-06-28 19:20:00,25.37,82.56
2021-06-28 19:30:00,24.8,85.47
2021-06-28 19:40:00,24.27,87.51
2021-06-28 19:50:00,23.84,89.54
2021-06-28 20:00:00,23.53,90.41
2021-06-28 20:10:00,23.22,92.16
2021-06-28 20:20:00,22.95,93.03
2021-06-28 20:30:00,22.7,94.2
2021-06-28 20:40:00,22.5,94.81
2021-06-28 20:50:00,22.42,95.42
2021-06-28 21:00:00,22.33,95.42
2021-06-28 21:10:00,22.2,96.02
2021-06-28 21:20:00,22.08,96.33
2021-06-28 21:30:00,21.97,96.94
2021-06-28 21:40:00,21.869999999999997,97.55
2021-06-28 21:50:00,21.75,97.85
2021-06-28 22:00:00,21.57,98.76
2021-06-28 22:10:00,21.439999999999998,99.37
2021-06-28 22:20:00,21.369999999999997,99.68
2021-06-28 22:30:00,21.34,99.68
2021-06-28 22:40:00,21.23,99.98
2021-06-28 22:50:00,21.33,99.68
2021-06-28 23:00:00,21.439999999999998,99.07
2021-06-28 23:10:00,21.57,98.46
2021-06-28 23:20:00,21.64,98.46
2021-06-28 23:30:00,21.689999999999998,97.85
2021-06-28 23:40:00,21.72,97.55
2021-06-28 23:50:00,21.78,97.55
2021-06-29 00:00:00,21.85,96.94
2021-06-29 00:10:00,21.810000000000002,97.24
2021-06-29 00:20:00,21.71,98.16
2021-06-29 00:30:00,21.630000000000003,98.46
2021-06-29 00:40:00,21.71,98.16
2021-06-29 00:50:00,21.810000000000002,97.55
2021-06-29 01:00:00,21.89,96.63
2021-06-29 01:10:00,21.93,96.63
2021-06-29 01:20:00,21.95,96.02
2021-06-29 01:30:00,22.07,95.72
2021-06-29 01:40:00,22.08,95.42
2021-06-29 01:50:00,22.119999999999997,94.5
2021-06-29 02:00:00,22.130000000000003,93.9
2021-06-29 02:10:00,22.09,93.61
2021-06-29 02:20:00,22.03,92.45
2021-06-29 02:30:00,21.939999999999998,92.74
2021-06-29 02:40:00,21.84,92.45
2021-06-29 02:50:00,21.67,92.45
2021-06-29 03:00:00,21.42,92.74
2021-06-29 03:10:00,21.189999999999998,93.61
2021-06-29 03:20:00,21.02,94.2
2021-06-29 03:30:00,20.97,94.81
2021-06-29 03:40:00,20.96,95.42
2021-06-29 03:50:00,20.939999999999998,95.72
2021-06-29 04:00:00,20.880000000000003,95.72
