Code,Year,DOY,HHMM,TIMESTAMP,wd,ws_min,ws,ws_max,Ta,RH,P,Rain,Hail,K_down_SPN1,K_diff_SPN1,L_down,K_down_Knz,RH_QC,P_QC,Ta_QC,ws_QC,ws_max_QC,ws_min_QC,wd_QC,K_down_KnZ
16932,2021,152,0000,2021-06-01 00:00:00,312.1,1.992,2.192,2.388,10.2,83.3,1011,0.0,0.0,3.832,2.464,286.1922719716641,-67.85,0,0,0,0,0,0,0,
16933,2021,152,0010,2021-06-01 00:10:00,244.9,1.652,1.84,2.026,10.2,83.4,1011,0.0,0.0,3.748,2.509,290.1222719716641,-63.92,0,0,0,0,0,0,0,
16934,2021,152,0020,2021-06-01 00:20:00,195.8,1.377,1.56,1.748,10.17,83.6,1011,0.0,0.0,3.788,2.399,293.8522719716641,-60.19,0,0,0,0,0,0,0,
16935,2021,152,0030,2021-06-01 00:30:00,263.5,1.439,1.592,1.748,10.1,84.0,1011,0.0,0.0,3.828,2.443,298.37874526448616,-55.16,0,0,0,0,0,0,0,
16936,2021,152,0040,2021-06-01 00:40:00,136.9,1.32,1.496,1.667,10.12,84.2,1011,0.0,0.0,3.697,2.397,301.9887452644861,-51.55,0,0,0,0,0,0,0,
16937,2021,152,0050,2021-06-01 00:50:00,128.0,1.308,1.492,1.676,10.1,84.3,1011,0.0,0.0,3.313,1.989,305.6722719716641,-48.37,0,0,0,0,0,0,0,
16938,2021,152,0100,2021-06-01 01:00:00,137.1,1.026,1.186,1.338,10.1,84.4,1011,0.0,0.0,3.937,2.505,303.9922719716641,-50.05,0,0,0,0,0,0,0,
16939,2021,152,0110,2021-06-01 01:10:00,214.0,0.851,0.992,1.129,10.0,84.7,1011,0.0,0.0,4.235,2.888,304.76227197166406,-49.28,0,0,0,0,0,0,0,
16940,2021,152,0120,2021-06-01 01:20:00,233.0,1.229,1.386,1.549,10.0,84.9,1011,0.0,0.0,3.915,2.555,308.65874526448613,-44.88,0,0,0,0,0,0,0,
16941,2021,152,0130,2021-06-01 01:30:00,238.8,0.859,1.007,1.157,10.04,84.8,1011,0.0,0.0,3.731,2.407,312.40874526448613,-41.13,0,0,0,0,0,0,0,
16942,2021,152,0140,2021-06-01 01:40:00,256.5,1.157,1.3,1.46,10.1,84.9,1011,0.0,0.0,3.757,2.366,312.9387452644861,-40.6,0,0,0,0,0,0,0,
16943,2021,152,0150,2021-06-01 01:50:00,151.9,0.738,0.872,1.029,10.14,84.7,1011,0.0,0.0,3.472,2.116,313.5687452644861,-39.97,0,0,0,0,0,0,0,
16944,2021,152,0200,2021-06-01 02:00:00,238.8,1.118,1.28,1.444,10.2,84.5,1011,0.0,0.0,3.586,2.236,311.4522719716641,-42.59,0,0,0,0,0,0,0,
16945,2021,152,0210,2021-06-01 02:10:00,314.0,1.572,1.733,1.891,10.2,84.7,1011,0.0,0.0,3.827,2.426,308.2422719716641,-45.8,0,0,0,0,0,0,0,
16946,2021,152,0220,2021-06-01 02:20:00,337.1,1.951,2.142,2.334,10.11,85.0,1011,0.0,0.0,3.837,2.514,305.6222719716641,-48.42,0,0,0,0,0,0,0,
16947,2021,152,0230,2021-06-01 02:30:00,329.5,2.22,2.417,2.621,10.07,85.3,1011,0.0,0.0,3.749,2.443,302.6222719716641,-51.42,0,0,0,0,0,0,0,
16948,2021,152,0240,2021-06-01 02:40:00,194.4,1.646,1.876,2.1,10.0,85.7,1011,0.0,0.0,3.924,2.527,299.6222719716641,-54.42,0,0,0,0,0,0,0,
16949,2021,152,0250,2021-06-01 02:50:00,135.1,1.484,1.708,1.942,9.99,86.0,1011,0.0,0.0,3.877,2.555,303.08874526448614,-50.45,0,0,0,0,0,0,0,
16950,2021,152,0300,2021-06-01 03:00:00,118.9,1.369,1.646,1.89,9.87,86.4,1011,0.0,0.0,3.635,2.342,315.8487452644861,-37.69,0,0,0,0,0,0,0,
16951,2021,152,0310,2021-06-01 03:10:00,142.6,1.366,1.612,1.87,9.8,86.7,1011,0.0,0.0,3.796,2.395,319.9987452644861,-33.54,0,0,0,0,0,0,0,
16952,2021,152,0320,2021-06-01 03:20:00,134.7,1.517,1.765,2.01,9.8,86.8,1011,0.0,0.0,3.972,2.653,312.00874526448615,-41.53,0,0,0,0,0,0,0,
16953,2021,152,0330,2021-06-01 03:30:00,134.6,1.314,1.507,1.701,9.8,86.8,1011,0.0,0.0,4.103,2.667,314.21874526448613,-39.32,0,0,0,0,0,0,0,
16954,2021,152,0340,2021-06-01 03:40:00,86.4,1.054,1.223,1.403,9.74,86.9,1011,0.0,0.0,3.95,2.578,314.2387452644861,-39.3,0,0,0,0,0,0,0,
16955,2021,152,0350,2021-06-01 03:50:00,45.5,1.398,1.566,1.723,9.8,87.0,1011,0.0,0.0,3.885,2.5,313.21874526448613,-40.32,0,0,0,0,0,0,0,
16956,2021,152,0400,2021-06-01 04:00:00,53.63,1.273,1.468,1.658,9.84,86.9,1011,0.0,0.0,3.971,2.592,309.75874526448615,-43.78,0,0,0,0,0,0,0,
16957,2021,152,0410,2021-06-01 04:10:00,51.06,1.267,1.448,1.627,9.9,86.6,1011,0.0,0.0,4.485,3.102,309.26874526448614,-44.27,0,0,0,0,0,0,0,
16958,2021,152,0420,2021-06-01 04:20:00,64.38,0.927,1.073,1.218,9.91,86.5,1011,0.0,0.0,5.038,3.705,312.0687452644861,-41.47,0,0,0,0,0,0,0,
16959,2021,152,0430,2021-06-01 04:30:00,67.81,1.234,1.383,1.535,9.96,86.2,1010,0.0,0.0,6.167,4.737,307.63227197166407,-46.41,0,0,0,0,0,0,0,
16960,2021,152,0440,2021-06-01 04:40:00,71.63,1.201,1.355,1.512,10.08,85.5,1011,0.0,0.0,9.47,7.924,296.0822719716641,-57.96,0,0,0,0,0,0,0,
16961,2021,152,0450,2021-06-01 04:50:00,84.5,1.341,1.498,1.639,10.1,85.1,1010,0.0,0.0,13.77,12.26,295.1222719716641,-58.92,0,0,0,0,0,0,0,
16962,2021,152,0500,2021-06-01 05:00:00,80.3,1.23,1.358,1.494,10.06,85.0,1010,0.18,0.0,18.16,16.75,301.9322719716641,-52.11,0,0,0,0,0,0,0,
16963,2021,152,0510,2021-06-01 05:10:00,84.9,1.49,1.64,1.791,10.1,84.8,1010,0.0,0.0,22.69,21.02,305.8663363474526,-48.68,0,0,0,0,0,0,0,
16964,2021,152,0520,2021-06-01 05:20:00,82.3,1.823,2.017,2.211,10.1,84.6,1010,0.0,0.0,29.66,27.86,312.5509387744665,-42.5,0,0,0,0,0,0,0,
16965,2021,152,0530,2021-06-01 05:30:00,90.7,2.026,2.183,2.341,10.19,84.5,1010,0.0,0.0,37.76,35.92,310.4560796354553,-45.1,0,0,0,0,0,0,0,
16966,2021,152,0540,2021-06-01 05:40:00,78.56,1.851,2.062,2.266,10.29,84.0,1010,0.0,0.0,39.65,37.89,312.317978191041,-44.25,0,0,0,0,0,0,0,
16967,2021,152,0550,2021-06-01 05:50:00,53.08,1.451,1.625,1.799,10.44,83.7,1011,0.0,0.0,41.23,39.53,306.7747366518182,-50.3,0,0,0,0,0,0,0,
16968,2021,152,0600,2021-06-01 06:00:00,69.28,1.594,1.798,2.027,10.53,83.3,1011,0.0,0.0,43.42,41.78,314.92203507893305,-42.66,0,0,0,0,0,0,0,
16969,2021,152,0610,2021-06-01 06:10:00,80.7,1.994,2.201,2.416,10.68,82.6,1010,0.0,0.0,54.49,51.87,319.74825336603317,-38.85,0,0,0,0,0,0,0,
16970,2021,152,0620,2021-06-01 06:20:00,86.8,2.374,2.536,2.703,10.8,82.3,1010,0.0,0.0,59.86,57.47,325.1866361214202,-34.43,0,0,0,0,0,0,0,
16971,2021,152,0630,2021-06-01 06:30:00,88.3,2.252,2.423,2.593,11.05,81.4,1010,0.0,0.0,65.2,62.64,327.37827535150717,-33.77,0,0,0,0,0,0,0,
16972,2021,152,0640,2021-06-01 06:40:00,83.2,1.798,1.971,2.137,11.24,80.9,1010,0.0,0.0,69.65,67.5,328.5420827191205,-33.63,0,0,0,0,0,0,0,
16973,2021,152,0650,2021-06-01 06:50:00,75.8,1.849,2.033,2.211,11.5,79.87,1011,0.0,0.0,73.3,70.98,331.38187328362335,-32.33,0,0,0,0,0,0,0,
16974,2021,152,0700,2021-06-01 07:00:00,84.1,1.651,1.789,1.937,11.67,79.37,1011,0.0,0.0,79.33,76.75,331.9411244928367,-32.8,0,0,0,0,0,0,0,
16975,2021,152,0710,2021-06-01 07:10:00,83.3,1.948,2.081,2.214,11.93,78.32,1011,0.0,0.0,82.2,79.68,332.3425586305358,-33.43,0,0,0,0,0,0,0,
16976,2021,152,0720,2021-06-01 07:20:00,74.53,1.902,2.066,2.222,12.13,77.74,1011,0.0,0.0,85.8,83.0,332.07380957554227,-35.25,0,0,0,0,0,0,0,
16977,2021,152,0730,2021-06-01 07:30:00,84.3,1.332,1.471,1.604,12.37,76.87,1011,0.0,0.0,88.3,85.3,333.43071453312194,-34.93,0,0,0,0,0,0,0,
16978,2021,152,0740,2021-06-01 07:40:00,85.1,1.682,1.831,1.971,12.5,76.23,1011,0.0,0.0,111.3,108.2,332.9501861852659,-36.97,0,0,0,0,0,0,0,
16979,2021,152,0750,2021-06-01 07:50:00,100.7,1.555,1.696,1.832,12.63,75.59,1011,0.0,0.0,121.8,117.0,329.8625812737534,-41.1,0,0,0,0,0,0,0,
16980,2021,152,0800,2021-06-01 08:00:00,114.0,1.598,1.731,1.87,12.96,73.84,1011,0.0,0.0,131.7,127.8,328.67030262509206,-43.86,0,0,0,0,0,0,0,
16981,2021,152,0810,2021-06-01 08:10:00,115.2,1.501,1.669,1.848,13.31,71.31,1011,0.0,0.0,168.1,165.2,329.2083209685994,-45.42,0,0,0,0,0,0,0,
16982,2021,152,0820,2021-06-01 08:20:00,108.7,1.04,1.165,1.294,13.65,69.42,1011,0.0,0.0,190.4,184.9,330.3732910978808,-46.89,0,0,0,0,0,0,0,
16983,2021,152,0830,2021-06-01 08:30:00,122.5,1.698,1.892,2.073,14.03,66.56,1011,0.0,0.0,265.7,238.5,330.0835752318655,-50.36,0,0,0,0,0,0,0,
16984,2021,152,0840,2021-06-01 08:40:00,129.9,1.85,2.037,2.238,14.45,64.0,1011,0.0,0.0,397.5,287.5,322.8492723232713,-61.33,0,0,0,0,0,0,0,
16985,2021,152,0850,2021-06-01 08:50:00,127.7,1.645,1.834,2.032,14.84,61.48,1011,0.0,0.0,375.6,306.5,318.49313666684054,-68.91,0,0,0,0,0,0,0,
16986,2021,152,0900,2021-06-01 09:00:00,140.6,1.611,1.833,2.069,15.29,57.68,1011,0.085,0.0,477.5,336.8,322.59990826752505,-68.59,0,0,0,0,0,0,0,
16987,2021,152,0910,2021-06-01 09:10:00,134.0,1.472,1.648,1.837,15.57,55.75,1011,0.0,0.0,424.3,308.4,316.4016924658876,-77.51,0,0,0,0,0,0,0,
16988,2021,152,0920,2021-06-01 09:20:00,118.7,1.905,2.087,2.278,15.78,55.47,1011,0.0,0.0,417.3,291.8,312.7043733424363,-82.3,0,0,0,0,0,0,0,
