Code,Year,DOY,HHMM,TIMESTAMP,wd,ws_min,ws,ws_max,Ta,RH,P,Rain,Hail,K_down_SPN1,K_diff_SPN1,L_down,K_down_Knz,RH_QC,P_QC,Ta_QC,ws_QC,ws_max_QC,ws_min_QC,wd_QC,K_down_KnZ
33864,2021,152,0000,2021-06-01 00:00:00,312.3,2.117,2.327,2.527,10.2,83.3,1011,0.0,0.0,3.701,2.32,287.6122719716641,-66.43,0,0,0,0,0,0,0,
33865,2021,152,0005,2021-06-01 00:05:00,326.6,1.955,2.15,2.337,10.2,83.4,1011,0.0,0.0,3.856,2.618,289.4922719716641,-64.55,0,0,0,0,0,0,0,
33866,2021,152,0010,2021-06-01 00:10:00,163.3,1.35,1.53,1.715,10.2,83.5,1011,0.0,0.0,3.641,2.4,290.7522719716641,-63.29,0,0,0,0,0,0,0,
33867,2021,152,0015,2021-06-01 00:15:00,158.8,1.29,1.48,1.677,10.2,83.6,1011,0.0,0.0,3.624,2.162,292.6022719716641,-61.44,0,0,0,0,0,0,0,
33868,2021,152,0020,2021-06-01 00:20:00,232.8,1.465,1.64,1.82,10.14,83.7,1011,0.0,0.0,3.951,2.635,295.0922719716641,-58.95,0,0,0,0,0,0,0,
33869,2021,152,0025,2021-06-01 00:25:00,264.6,1.238,1.372,1.518,10.1,83.9,1011,0.0,0.0,3.98,2.543,297.3087452644861,-56.23,0,0,0,0,0,0,0,
33870,2021,152,0030,2021-06-01 00:30:00,262.5,1.64,1.812,1.977,10.1,84.1,1011,0.0,0.0,3.676,2.344,299.4387452644861,-54.1,0,0,0,0,0,0,0,
33871,2021,152,0035,2021-06-01 00:35:00,195.5,1.325,1.523,1.722,10.1,84.2,1011,0.0,0.0,3.718,2.38,300.9987452644861,-52.54,0,0,0,0,0,0,0,
33872,2021,152,0040,2021-06-01 00:40:00,78.42,1.315,1.468,1.612,10.13,84.2,1011,0.0,0.0,3.676,2.415,303.4722719716641,-50.57,0,0,0,0,0,0,0,
33873,2021,152,0045,2021-06-01 00:45:00,99.2,1.315,1.51,1.693,10.1,84.2,1011,0.0,0.0,3.351,2.049,305.5422719716641,-48.5,0,0,0,0,0,0,0,
33874,2021,152,0050,2021-06-01 00:50:00,156.9,1.302,1.473,1.658,10.1,84.4,1011,0.0,0.0,3.274,1.929,306.3063363474526,-48.24,0,0,0,0,0,0,0,
33875,2021,152,0055,2021-06-01 00:55:00,152.0,0.84,0.983,1.127,10.1,84.4,1011,0.0,0.0,3.824,2.364,304.6122719716641,-49.43,0,0,0,0,0,0,0,
33876,2021,152,0100,2021-06-01 01:00:00,122.3,1.212,1.388,1.55,10.1,84.4,1011,0.0,0.0,4.05,2.645,303.3622719716641,-50.68,0,0,0,0,0,0,0,
33877,2021,152,0105,2021-06-01 01:05:00,232.3,0.965,1.107,1.262,10.01,84.6,1011,0.0,0.0,4.198,2.87,303.9322719716641,-50.11,0,0,0,0,0,0,0,
33878,2021,152,0110,2021-06-01 01:10:00,195.6,0.737,0.877,0.997,10.0,84.8,1011,0.0,0.0,4.272,2.906,305.08874526448614,-48.45,0,0,0,0,0,0,0,
33879,2021,152,0115,2021-06-01 01:15:00,262.2,1.205,1.343,1.502,10.0,84.8,1011,0.0,0.0,3.954,2.629,307.3087452644861,-46.23,0,0,0,0,0,0,0,
33880,2021,152,0120,2021-06-01 01:20:00,203.8,1.253,1.428,1.597,10.0,84.9,1011,0.0,0.0,3.877,2.482,310.00874526448615,-43.53,0,0,0,0,0,0,0,
33881,2021,152,0125,2021-06-01 01:25:00,208.4,0.873,1.022,1.175,10.0,84.9,1011,0.0,0.0,3.568,2.219,311.9787452644861,-41.56,0,0,0,0,0,0,0,
33882,2021,152,0130,2021-06-01 01:30:00,269.2,0.845,0.993,1.138,10.08,84.8,1011,0.0,0.0,3.893,2.595,312.83874526448614,-40.7,0,0,0,0,0,0,0,
33883,2021,152,0135,2021-06-01 01:35:00,306.5,1.177,1.303,1.452,10.1,84.9,1011,0.0,0.0,3.835,2.497,312.6887452644861,-40.85,0,0,0,0,0,0,0,
33884,2021,152,0140,2021-06-01 01:40:00,206.4,1.138,1.297,1.468,10.1,84.9,1011,0.0,0.0,3.679,2.235,313.1787452644861,-40.36,0,0,0,0,0,0,0,
33885,2021,152,0145,2021-06-01 01:45:00,198.2,0.672,0.803,0.962,10.1,84.8,1011,0.0,0.0,3.608,2.267,313.64874526448614,-39.89,0,0,0,0,0,0,0,
33886,2021,152,0150,2021-06-01 01:50:00,105.5,0.803,0.94,1.097,10.17,84.7,1011,0.0,0.0,3.336,1.966,313.4787452644861,-40.06,0,0,0,0,0,0,0,
33887,2021,152,0155,2021-06-01 01:55:00,173.9,0.91,1.083,1.263,10.2,84.5,1011,0.0,0.0,3.377,2.062,312.2722719716641,-41.77,0,0,0,0,0,0,0,
33888,2021,152,0200,2021-06-01 02:00:00,303.7,1.327,1.477,1.625,10.2,84.5,1011,0.0,0.0,3.796,2.41,310.63227197166407,-43.41,0,0,0,0,0,0,0,
33889,2021,152,0205,2021-06-01 02:05:00,310.4,1.39,1.545,1.693,10.2,84.7,1011,0.0,0.0,3.773,2.315,308.9722719716641,-45.07,0,0,0,0,0,0,0,
33890,2021,152,0210,2021-06-01 02:10:00,317.6,1.753,1.92,2.088,10.2,84.7,1011,0.0,0.0,3.881,2.537,307.5022719716641,-46.54,0,0,0,0,0,0,0,
33891,2021,152,0215,2021-06-01 02:15:00,338.5,1.683,1.85,2.027,10.13,84.9,1011,0.0,0.0,3.794,2.492,306.1022719716641,-47.94,0,0,0,0,0,0,0,
33892,2021,152,0220,2021-06-01 02:20:00,335.8,2.218,2.433,2.642,10.1,85.1,1011,0.0,0.0,3.88,2.536,305.13227197166407,-48.91,0,0,0,0,0,0,0,
33893,2021,152,0225,2021-06-01 02:25:00,335.5,2.298,2.505,2.718,10.1,85.2,1011,0.0,0.0,3.788,2.472,303.8122719716641,-50.23,0,0,0,0,0,0,0,
33894,2021,152,0230,2021-06-01 02:30:00,323.5,2.142,2.33,2.523,10.05,85.4,1011,0.0,0.0,3.711,2.415,301.4222719716641,-52.62,0,0,0,0,0,0,0,
